datetime,open,high,low,close,volume
[1998-01-02 16:00:00, 129.63, 131.19, 129.63, 130.57, 752407]
[1998-01-02 17:00:00, 130.5, 131.5, 129.94, 131.5, 1179507]
[1998-01-02 18:00:00, 131.5, 131.5, 130.5, 130.62, 758400]
[1998-01-02 19:00:00, 130.56, 131.0, 130.56, 130.75, 249800]
[1998-01-02 20:00:00, 130.75, 130.93, 130.25, 130.44, 352702]
[1998-01-02 21:00:00, 130.31, 130.38, 129.5, 130.19, 419704]
[1998-01-02 22:00:00, 130.06, 131.13, 129.62, 131.13, 878903]
[1998-01-05 16:00:00, 131.25, 131.76, 130.75, 131.38, 1024810]
[1998-01-05 17:00:00, 131.5, 133.63, 131.25, 133.26, 1633204]
[1998-01-05 18:00:00, 133.13, 133.5, 132.75, 133.25, 825400]
[1998-01-05 19:00:00, 133.25, 133.44, 132.87, 132.94, 1030106]
[1998-01-05 20:00:00, 132.88, 133.06, 131.31, 131.31, 1014500]
[1998-01-05 21:00:00, 131.31, 131.5, 130.25, 131.13, 1410613]
[1998-01-05 22:00:00, 131.06, 131.38, 127.87, 130.32, 2390217]
[1998-01-06 16:00:00, 129.75, 133.01, 129.5, 131.63, 1650219]
[1998-01-06 17:00:00, 131.63, 132.31, 130.5, 131.0, 1533808]
[1998-01-06 18:00:00, 131.0, 131.01, 129.25, 129.38, 939401]
[1998-01-06 19:00:00, 129.34, 130.26, 129.31, 130.25, 806405]
[1998-01-06 20:00:00, 130.19, 132.0, 130.0, 131.75, 1047702]
[1998-01-06 21:00:00, 131.81, 132.0, 130.75, 131.63, 814107]
[1998-01-06 22:00:00, 131.69, 131.88, 130.13, 130.88, 1226704]
[1998-01-07 16:00:00, 129.88, 130.63, 129.25, 130.0, 991604]
[1998-01-07 17:00:00, 130.0, 130.38, 128.5, 128.75, 1254508]
[1998-01-07 18:00:00, 128.56, 129.51, 128.37, 129.07, 834308]
[1998-01-07 19:00:00, 129.0, 129.13, 128.0, 128.25, 641706]
[1998-01-07 20:00:00, 128.31, 129.0, 127.5, 128.5, 938004]
[1998-01-07 21:00:00, 128.5, 129.56, 128.13, 129.5, 752404]
[1998-01-07 22:00:00, 129.5, 130.44, 128.75, 129.76, 1811212]
[1998-01-08 16:00:00, 128.63, 128.88, 127.5, 128.38, 1143805]
[1998-01-08 17:00:00, 128.25, 131.38, 127.75, 130.94, 2218411]
[1998-01-08 18:00:00, 131.06, 132.13, 130.68, 131.22, 1869411]
[1998-01-08 19:00:00, 131.19, 131.44, 130.62, 130.75, 847705]
[1998-01-08 20:00:00, 130.81, 131.38, 130.56, 130.87, 996000]
[1998-01-08 21:00:00, 130.75, 131.38, 130.62, 130.88, 786405]
[1998-01-08 22:00:00, 130.88, 131.25, 129.93, 130.51, 1387305]
[1998-01-09 16:00:00, 130.06, 131.5, 129.5, 129.94, 1281715]
[1998-01-09 17:00:00, 129.94, 130.25, 128.75, 129.25, 1436407]
[1998-01-09 18:00:00, 129.0, 129.25, 127.69, 128.37, 1689016]
[1998-01-09 19:00:00, 128.38, 129.51, 128.06, 129.19, 822705]
[1998-01-09 20:00:00, 129.38, 129.88, 128.0, 128.13, 993807]
[1998-01-09 21:00:00, 128.06, 129.63, 127.82, 129.5, 1652315]
[1998-01-09 22:00:00, 129.5, 129.75, 125.88, 127.0, 2543822]
[1998-01-12 16:00:00, 124.63, 128.01, 124.37, 127.57, 1544528]
[1998-01-12 17:00:00, 127.5, 129.13, 126.62, 128.76, 1869917]
[1998-01-12 18:00:00, 128.75, 129.87, 128.06, 129.25, 1602512]
[1998-01-12 19:00:00, 129.25, 130.01, 129.0, 129.88, 692702]
[1998-01-12 20:00:00, 129.81, 130.01, 129.25, 129.62, 447200]
[1998-01-12 21:00:00, 129.56, 129.63, 127.5, 128.06, 1410812]
[1998-01-12 22:00:00, 128.0, 129.88, 128.0, 129.56, 1549912]
[1998-01-13 16:00:00, 129.5, 130.01, 128.12, 130.01, 1431520]
[1998-01-13 17:00:00, 129.88, 131.56, 129.57, 130.81, 1889207]
[1998-01-13 18:00:00, 130.69, 131.13, 130.12, 131.06, 734404]
[1998-01-13 19:00:00, 131.06, 131.51, 130.5, 130.82, 981504]
[1998-01-13 20:00:00, 130.75, 131.25, 130.5, 131.0, 426101]
[1998-01-13 21:00:00, 131.06, 131.76, 130.87, 131.25, 1038201]
[1998-01-13 22:00:00, 131.13, 132.26, 131.0, 132.13, 1477210]
[1998-01-14 16:00:00, 132.13, 132.51, 130.75, 130.75, 1281308]
[1998-01-14 17:00:00, 130.75, 131.38, 129.25, 129.75, 1754013]
[1998-01-14 18:00:00, 129.63, 130.13, 129.5, 129.76, 839104]
[1998-01-14 19:00:00, 129.81, 130.01, 129.25, 129.94, 524200]
[1998-01-14 20:00:00, 129.94, 130.26, 129.75, 130.12, 468302]
[1998-01-14 21:00:00, 130.13, 131.38, 130.07, 131.07, 831405]
[1998-01-14 22:00:00, 131.0, 131.69, 130.88, 131.07, 838308]
[1998-01-15 16:00:00, 130.38, 130.63, 129.87, 130.41, 924409]
